filename	caption
043-vet-casesbyauthdate.png	`CasesByAuthDate?OpenView` — cases by authorization date (including the mixed-format text dates).
044-vet-agingcases.png	`AgingCases?OpenView` — open cases past the 60 (amber) / 75 (red) day thresholds.
045-vet-engravingqueue.png	`EngravingQueue?OpenView` — Domino view of engraving jobs by status.
046-vet-assemblyqueue.png	`AssemblyQueue?OpenView` — cases at Assembly/QC.
047-vet-warehousepick.png	`WarehousePick?OpenView` — cases at Warehouse with pick-bin locations.
048-vet-shipconfirm.png	`ShipConfirm?OpenView` — shipped cases with carrier and tracking.
049-vet-csrlookup.png	`CSRLookup?OpenView` — cases categorized by veteran last name.
050-vet-all.png	`vetmedals.nsf/($All)?OpenView` — every veteran medals document.
051-caseview-authorized.png	`CaseView.xsp?documentId=…` — case `VMA-2025-000006` at Authorized with the six-stage tracker, award lines and notes.
052-case-note-added.png	Case note added and persisted on the case.
053-case-on-hold.png	Case placed On Hold with hold reason; "Stage Before Hold" retains Authorized and the tracker flags the non-canonical stage.
054-case-hold-released.png	Hold released — case returns to Authorized.
055-case-engraving.png	Case advanced to Engraving (engraving job created).
056-case-advance-denied.png	`[Assembler]` persona cannot advance an Engraving-stage case — message shown and no advance control rendered.
057-case-assembly-qc.png	Case advanced to Assembly/QC by the TACOM lead.
058-case-warehouse.png	Case advanced to Warehouse.
059-case-shipped.png	Case advanced to Shipped with the shipment record (carrier, tracking).
060-case-closed.png	Case advanced to Closed; all stage markers complete and the case is locked.
061-engraving-queue.png	`EngravingQueue.xsp` — engraving work queue with Queued / In Progress / Complete filters.
062-engraving-started.png	Engraving job started — status In Progress with engraver and start time.
063-engraving-completed.png	Engraving job `ENG-2026-01085` Complete with proof check recorded.
064-csr-lookup.png	`CSRLookup.xsp` — customer-service search form.
065-csr-case-number.png	Lookup by case number returns the single case.
066-csr-last-name.png	Lookup by veteran last name returns the matching cases.
067-csr-ssn-last-four.png	Lookup by SSN last-4 (`5197`) matches `VMA-2017-000001` with masked `ServiceNumber` `***-**-5197`.
068-design-inventory.png	`/design` — design inventory of both databases (forms, views, agents, XPages with counts) with the left navigation intact at 1280 px.
069-design-form-request.png	`/design` form detail — `Request` fields, kinds and validation / translation formulas.
070-design-view-requests-by-status.png	`/design` view detail — `RequestsByStatus` selection formula, columns and DXL source.
071-design-agent-nightly-aging.png	`/design` agent detail — `NightlyAging` trigger metadata and LotusScript source.
072-design-xpage-heraldry-home.png	`/design` XPage detail — `HeraldryHome.xsp` control census and source.
073-agents.png	`/agents` — Agents menu with `NightlyAging`, `ImportAuthorizationFile` (sample file or multipart upload) and the other manual agents.
074-nightly-aging-results.png	`NightlyAging` run — 783 open cases processed, 49 amber, 636 red, 0 unparseable dates; log readable on black.
075-import-sample-results.png	`ImportAuthorizationFile` on the HRC sample — 8 cases / 19 lines created, 3 intentionally malformed records rejected ("Imported with Errors").
076-import-multipart-file-selected.png	NPRC sample selected in the file input for a multipart upload.
077-import-upload-results.png	Multipart NPRC import — 8 cases / 23 lines created, 0 rejected.
078-audit-log.png	`/audit` — JSON audit trail (`harness/logs/audit.jsonl`) with the current nav link hovered; wide table scrolls inside the content cell.
079-audit-request-events.png	Audit rows for request create / modify / cancel / release and the authorization failures from the blocked modifications.
080-audit-horizontal-scroll.png	Audit content scrolled 660 px horizontally — navigation column keeps its width.
081-domino-error-404.png	Unknown view returns the generic Domino-style `Error 404` page (details only in the internal log).
082-design-horizontal-scroll.png	Wide `Request` form design table scrolls horizontally inside the content cell with navigation intact.
